controller
4   3
I7  I6  I5  I4  C1A1    C1A0    C1O
0   0   X   X   N       N       N 
0   1   0   0   0       0       1
0   1   0   1   0       1       1
0   1   1   0   1       0       1
0   1   1   1   1       1       1
1   0   0   0   0       0       0
1   0   0   1   0       1       0
1   0   1   0   1       0       0
1   0   1   1   1       1       0
1   1   X   X   N       N       N 

